,VIN,LPF_OUT
0,0,0
1,13262,3886
2,15012,12831
3,16675,16351
4,18209,18321
5,19578,20009
6,20746,21508
7,21686,22787
8,22374,23816
9,22794,24569
10,22936,25028
11,22795,25182
12,22375,25026
13,21687,24564
14,20746,23808
15,19577,22776
16,18209,21494
17,16674,19993
18,15012,18311
19,13262,16489
20,11468,14571
21,9674,12605
22,7925,10640
23,6262,8723
24,4728,6902
25,3360,5221
26,2191,3723
27,1251,2443
28,562,1414
29,141,660
30,0,201
31,142,48
32,562,205
33,1251,667
34,2191,1423
35,3360,2454
36,4728,3736
37,6262,5236
38,7925,6918
39,9675,8741
40,11468,10659
41,13262,12625
42,15012,14590
43,16674,16507
44,18209,18329
45,19578,20010
46,20747,21508
47,21686,22788
48,22375,23816
49,22794,24569
50,22936,25028
51,22794,25181
52,22375,25025
53,21686,24564
54,20747,23808
55,19578,22776
56,18209,21494
57,16674,19994
58,15012,18311
59,13262,16489
60,11468,14571
61,9675,12605
62,7925,10640
63,6262,8722
64,4728,6901
65,3360,5221
66,2191,3723
67,1251,2443
68,562,1414
69,142,661
70,1,201
71,141,48
72,562,204
73,1251,667
74,2191,1423
75,3360,2455
76,4728,3736
77,6262,5236
78,7925,6918
79,9674,8741
80,11468,10659
81,13262,12625
82,15012,14590
83,16674,16507
84,18209,18328
85,19577,20009
86,20746,21508
87,21687,22788
88,22375,23817
89,22795,24570
90,22936,25028
91,22794,25181
92,22374,25025
93,21686,24563
94,20746,23808
95,19577,22776
96,18209,21495
97,16675,19994
98,15012,18312
99,13262,16489
100,11468,14571
101,9675,12605
102,7925,10640
103,6262,8723
104,4728,6901
105,3359,5221
106,2191,3722
107,1251,2443
108,563,1414
109,143,661
110,1,202
111,142,48
112,562,204
113,1250,666
114,2191,1422
115,3360,2454
116,4728,3736
117,6262,5237
118,7925,6919
119,9675,8741
120,11468,10659
121,13263,12625
122,15012,14590
123,16675,16507
124,18209,18329
125,19577,20009
126,20746,21507
127,21686,22787
128,22375,23817
129,22796,24570
130,22936,25029
131,22795,25182
132,22374,25025
133,21686,24563
134,20746,23807
135,19577,22776
136,18209,21494
137,16675,19994
138,15012,18312
139,13262,16489
140,11468,14571
141,9675,12605
142,7925,10640
143,6262,8723
144,4728,6901
145,3359,5221
146,2190,3722
147,1251,2443
148,562,1414
149,142,661
150,1,202
151,142,49
152,562,205
153,1251,666
154,2190,1422
155,3359,2454
156,4728,3736
157,6262,5237
158,7925,6919
159,9675,8741
160,11468,10659
161,13262,12625
162,15012,14590
163,16675,16508
164,18209,18329
165,19577,20009
166,20746,21507
167,21686,22787
168,22374,23816
169,22795,24569
170,22936,25029
171,22796,25183
172,22375,25026
173,21686,24563
174,20746,23807
175,19577,22776
176,18209,21494
177,16675,19994
178,15012,18312
179,13262,16489
180,11468,14572
181,9675,12605
182,7925,10640
183,6262,8723
184,4728,6902
185,3360,5221
186,2191,3722
187,1250,2442
188,562,1413
189,142,660
190,1,202
191,142,49
192,563,205
193,1251,667
194,2191,1423
195,3359,2454
196,4728,3735
197,6262,5236
198,7925,6919
199,9675,8741
200,11468,10659
